id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Carter,Brooks,Carter Brooks,Men,2011-05-12,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,11.7,0.6,Timed final
2,Grayson,Cole,Grayson Cole,Men,2012-08-23,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,1,11.85,0.6,Timed final
3,Hunter,Reid,Hunter Reid,Men,2013-01-15,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,12,0.6,Timed final
4,Parker,Lane,Parker Lane,Men,2011-11-30,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,1,12.15,0.6,Timed final
5,Ryder,Stone,Ryder Stone,Men,2014-03-02,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,12.3,0.6,Timed final
6,Ashton,Wells,Ashton Wells,Men,2012-06-19,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,1,12.45,0.6,Timed final
7,Bryce,Tate,Bryce Tate,Men,2011-09-10,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,1,12.6,0.6,Timed final
8,Colton,Pierce,Colton Pierce,Men,2013-07-25,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,12.75,0.6,Timed final
9,Declan,Fox,Declan Fox,Men,2014-01-08,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,2,11.75,0.4,Timed final
10,Easton,Grey,Easton Grey,Men,2011-12-14,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,2,11.9,0.4,Timed final
11,Finn,Harper,Finn Harper,Men,2012-04-17,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,2,12.05,0.4,Timed final
12,Gideon,Knox,Gideon Knox,Men,2013-10-05,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,2,12.2,0.4,Timed final
13,Hayes,Jensen,Hayes Jensen,Men,2011-02-28,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,2,12.35,0.4,Timed final
14,Jaxon,Miles,Jaxon Miles,Men,2014-05-21,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,2,12.5,0.4,Timed final
15,Kaden,Ross,Kaden Ross,Men,2012-11-11,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,2,12.65,0.4,Timed final
16,Landon,Shaw,Landon Shaw,Men,2013-03-09,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,2,12.8,0.4,Timed final
17,Milo,Vance,Milo Vance,Men,2011-08-14,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,3,11.8,0.2,Timed final
18,Nolan,Wade,Nolan Wade,Men,2011-10-03,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,3,11.95,0.2,Timed final
