id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Ace,Burton,Ace Burton,Men,2006-05-12,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.32,0.3,Heats
2,Hawk,Jasper,Hawk Jasper,Men,2006-01-08,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.37,0.2,Heats
3,Pax,River,Pax River,Men,2006-12-14,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.42,0.3,Heats
4,Bryce,Adler,Bryce Adler,Men,1998-05-12,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.34,0.6,Heats
5,Kane,Irwin,Kane Irwin,Men,1996-01-08,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.39,0.4,Heats
6,Vance,Quill,Vance Quill,Men,1999-12-14,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.44,0.1,Heats
7,Ford,Xavier,Ford Xavier,Men,2003-02-22,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.49,0.2,Heats
8,Cole,Baxter,Cole Baxter,Men,2000-08-23,Aelthoria,Lumora Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.49,0.4,Heats
9,Levi,Jaxon,Levi Jaxon,Men,2004-04-14,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.54,0.6,Heats
10,Nico,Finn,Nico Finn,Men,1997-09-08,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.54,0.1,Heats
11,Lane,Tate,Lane Tate,Men,2002-02-14,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.39,0.2,Heats
12,Cade,Gale,Cade Gale,Men,2002-06-30,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.39,0.1,Heats
13,Tyson,Sage,Tyson Sage,Men,2002-04-07,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.39,0.1,Heats
14,Dean,Quinn,Dean Quinn,Men,2002-06-25,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.39,0.1,Heats
15,Finn,Wind,Finn Wind,Men,2002-08-19,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.41,0.6,Heats
16,Pax,Zane,Pax Zane,Men,2000-05-11,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.59,0.1,Heats
17,Milo,Strike,Milo Strike,Men,2000-09-17,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.59,0.3,Heats
18,Ryker,Chase,Ryker Chase,Men,2000-03-18,Aelthoria,Lumora Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.61,0.4,Heats
19,Liam,Brown,Liam Brown,Men,2000-08-22,Eldivara,,National Open Championship,2025-06-06,100m,Open,2,10.01,0.6,Heats
20,Jack,Wilson,Jack Wilson,Men,1997-03-15,Eldivara,,National Open Championship,2025-06-06,100m,Open,6,10.04,0.1,Heats
21,Ethan,Clark,Ethan Clark,Men,2001-12-12,Auralyth,,National Open Championship,2025-06-06,100m,Open,3,10.02,0.4,Heats
22,Noah,Harris,Noah Harris,Men,1996-09-05,Auralyth,,National Open Championship,2025-06-06,100m,Open,4,10.05,0.1,Heats
23,Thomas,King,Thomas King,Men,2003-04-05,Syltharion,,National Open Championship,2025-06-06,100m,Open,5,10.03,0.2,Heats
24,James,Young,James Young,Men,1995-10-30,Syltharion,,National Open Championship,2025-06-06,100m,Open,1,10.06,0.3,Heats
25,Derrick,Quinn,Derrick Quinn,Men,2006-05-18,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.69,0.2,Heats
26,Larry,Lane,Larry Lane,Men,2006-02-17,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.69,0.6,Heats
27,Tylor,Sage,Tylor Sage,Men,2006-03-22,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.69,0.4,Heats
28,Barry,Tate,Barry Tate,Men,2006-02-15,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.71,0.1,Heats
29,Theo,Sutton,Theo Sutton,Men,2006-03-27,Aelthoria,Lumora Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.79,0.2,Heats
30,Taylor,Surge,Taylor Surge,Men,2006-11-11,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.79,0.3,Heats
31,Cade,Donovan,Cade Donovan,Men,2006-11-15,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.84,0.3,Heats
32,Daniel,Adler,Daniel Adler,Men,2006-07-09,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.85,0.1,Heats
33,Reid,Flash,Reid Flash,Men,2006-10-13,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.88,0.4,Heats
34,Jerrick,Strike,Jerrick Strike,Men,2006-08-30,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.88,0.3,Heats
35,Beau,Flash,Beau Flash,Men,2001-09-14,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.51,0.1,Heats
36,Theo,Tate,Theo Tate,Men,2001-11-27,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.51,0.3,Heats
37,Gideon,York,Gideon York,Men,2001-07-16,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.51,0.2,Heats
38,Dane,Carver,Dane Carver,Men,1995-11-15,Aelthoria,Lumora Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.64,0.6,Heats
39,Grey,Yarrow,Grey Yarrow,Men,1999-07-09,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,6,10.64,0.1,Heats
40,Sage,Zane,Sage Zane,Men,2000-01-29,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.61,0.1,Heats
41,Byron,Flynn,Byron Flynn,Men,2000-01-25,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,5,10.61,0.2,Heats
42,Pax,Gideon,Pax Gideon,Men,2003-04-24,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.69,0.6,Heats
43,Evan,Drake,Evan Drake,Men,2002-09-30,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.79,0.4,Heats
44,Crew,Ellis,Crew Ellis,Men,2003-04-09,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.71,0.1,Heats
45,Harry,Ross,Harry Ross,Men,2003-10-24,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.71,0.6,Heats
46,Nash,Storm,Nash Storm,Men,2003-10-30,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.71,0.4,Heats
47,Ace,Xander,Ace Xander,Men,2003-01-08,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,4,10.71,0.1,Heats
48,Ace,Burton,Ace Burton,Men,2006-05-12,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-07,100m,Open,2,10.22,0.6,Semifinals
49,Hawk,Jasper,Hawk Jasper,Men,2006-01-08,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.19,0.6,Semifinals
50,Pax,River,Pax River,Men,2006-12-14,Aelthoria,Thalindra Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.24,0.4,Semifinals
51,Bryce,Adler,Bryce Adler,Men,1998-05-12,Aelthoria,Vyrnwood Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.13,0.4,Semifinals
52,Liam,Brown,Liam Brown,Men,2000-08-22,Eldivara,,National Open Championship,2025-06-06,100m,Open,1,10.19,0.3,Semifinals
53,Jack,Wilson,Jack Wilson,Men,1997-03-15,Eldivara,,National Open Championship,2025-06-06,100m,Open,3,10.23,0.4,Semifinals
54,Ethan,Clark,Ethan Clark,Men,2001-12-12,Auralyth,,National Open Championship,2025-06-06,100m,Open,2,10.21,0.6,Semifinals
55,Noah,Harris,Noah Harris,Men,1996-09-05,Auralyth,,National Open Championship,2025-06-06,100m,Open,2,10.24,0.6,Semifinals
56,Thomas,King,Thomas King,Men,2003-04-05,Syltharion,,National Open Championship,2025-06-06,100m,Open,3,10.22,0.4,Semifinals
57,James,Young,James Young,Men,1995-10-30,Syltharion,,National Open Championship,2025-06-06,100m,Open,1,10.25,0.3,Semifinals
58,Kane,Irwin,Kane Irwin,Men,1996-01-08,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.58,0.4,Semifinals
59,Vance,Quill,Vance Quill,Men,1999-12-14,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.63,0.3,Semifinals
60,Ford,Xavier,Ford Xavier,Men,2003-02-22,Aelthoria,Eldrin Athletics Club,National Open Championship,2025-06-06,100m,Open,2,10.68,0.6,Semifinals
61,Cole,Baxter,Cole Baxter,Men,2000-08-23,Aelthoria,Lumora Athletics Club,National Open Championship,2025-06-06,100m,Open,3,10.68,0.4,Semifinals
62,Levi,Jaxon,Levi Jaxon,Men,2004-04-14,Aelthoria,Sylvara Athletics Club,National Open Championship,2025-06-06,100m,Open,1,10.73,0.3,Semifinals
