id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
1,Carter,Brooks,Carter Brooks,Men,2011-05-12,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.17,0.5,Finals
2,Declan,Fox,Declan Fox,Men,2014-01-08,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.21,0.5,Finals
3,Milo,Vance,Milo Vance,Men,2011-08-14,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.26,0.5,Finals
4,Zane,Kelly,Zane Kelly,Men,2011-11-22,Aelthoria,Lumora Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.71,0.5,Finals
5,Hunter,Reid,Hunter Reid,Men,2013-01-15,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.71,0.5,Finals
6,Logan,Surge,Logan Surge,Men,2013-05-08,Aelthoria,Vyrnwood Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.79,0.5,Finals
7,Liam,Frost,Liam Frost,Men,2011-03-15,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.58,0.5,Finals
8,Preston,York,Preston York,Men,2012-07-07,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-02,100m,U15,,11.46,0.5,Finals
9,Carter,Brooks,Carter Brooks,Men,2011-05-12,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,2,11.28,0.3,Heats
10,Declan,Fox,Declan Fox,Men,2014-01-08,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,3,11.32,0.8,Heats
11,Milo,Vance,Milo Vance,Men,2011-08-14,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,1,11.37,0.6,Heats
12,Preston,York,Preston York,Men,2012-07-07,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,2,11.82,0.3,Heats
13,Hunter,Reid,Hunter Reid,Men,2013-01-15,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,1,11.83,0.6,Heats
14,Zane,Kelly,Zane Kelly,Men,2011-11-22,Aelthoria,Lumora Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,2,11.83,0.3,Heats
15,Liam,Frost,Liam Frost,Men,2011-03-15,Aelthoria,Eldrin Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,2,11.85,0.3,Heats
16,Logan,Surge,Logan Surge,Men,2013-05-08,Aelthoria,Vyrnwood Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,3,11.91,0.8,Heats
17,Nolan,Wade,Nolan Wade,Men,2011-10-03,Aelthoria,Thalindra Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,3,11.84,0.8,Heats
18,James,Ridge,James Ridge,Men,2011-08-25,Aelthoria,Vyrnwood Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,1,11.84,0.6,Heats
19,Lucas,Storm,Lucas Storm,Men,2011-11-05,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,1,11.87,0.6,Heats
20,Mason,Bolt,Mason Bolt,Men,2014-02-18,Aelthoria,Sylvara Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,3,11.88,0.8,Heats
21,Finn,Harper,Finn Harper,Men,2012-04-17,Aelthoria,Lumora Athletics Club,National Club Athletics Championship,2025-06-01,100m,U15,2,11.88,0.3,Heats
